ID,Name,Age,Gender,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level,School_Grade
4214,User_213,19,Female,8.5,7.4,64.3,6,2.0,1,6,8,1,4.0,82,28,0.7,0.0,1.4,Gaming,4,8.9,3.17,
4215,User_214,16,Female,9.8,7.7,87.9,5,2.3,2,5,3,1,1.0,198,24,4.7,0.6,2.4,Gaming,4,5.5,5.3,
4216,User_215,13,Male,5.1,7.4,93.6,8,2.3,3,9,8,0,3.0,247,24,2.2,0.0,1.3,Social Media,2,8.7,1.75,
4217,User_216,19,Male,5.9,6.0,85.3,3,1.7,1,3,5,0,3.0,239,27,1.4,0.7,0.1,Social Media,4,8.4,2.54,
4218,User_217,18,Male,3.7,8.1,62.0,4,2.8,9,7,1,1,3.0,231,9,4.0,4.1,0.6,Mixed,1,10.6,2.04,
4219,User_218,13,Female,6.0,6.3,32.5,7,0.9,5,9,6,0,3.0,120,8,2.9,0.0,0.3,Social Media,2,8.9,2.7,
4220,User_219,13,Female,5.0,5.6,74.7,7,1.1,8,4,2,1,3.0,186,27,3.8,2.7,0.9,Mixed,2,9.0,3.19,
4221,User_220,13,Male,5.8,5.7,100.0,8,0.0,5,3,7,0,3.0,119,16,2.8,3.8,0.3,Gaming,4,8.4,3.49,
4222,User_221,15,Female,6.8,9.4,69.5,2,1.4,8,1,9,0,3.0,158,23,4.7,0.0,1.6,Social Media,2,6.5,2.83,
4223,User_222,18,Female,3.8,5.4,40.2,2,2.1,7,9,3,0,3.0,138,19,2.4,4.7,1.0,Mixed,1,9.3,2.46,
4224,User_223,13,Female,5.3,8.4,59.9,4,1.8,4,1,4,1,3.0,76,29,0.6,1.9,2.1,Gaming,1,7.9,1.3,
4225,User_224,16,Male,2.4,4.8,67.2,9,0.9,7,2,4,1,4.0,150,17,1.4,4.0,0.5,Gaming,1,6.1,1.37,
4226,User_225,17,Female,5.3,7.2,53.5,9,2.3,6,9,4,1,3.0,56,9,3.7,2.4,1.8,Education,2,6.7,2.67,
4227,User_226,13,Female,5.8,6.9,31.5,4,1.4,3,5,3,0,1.0,231,16,2.0,1.3,1.5,Gaming,4,5.7,2.5,
4228,User_227,15,Male,6.5,8.9,68.5,9,2.3,9,4,5,1,4.0,243,23,4.9,0.0,1.9,Social Media,1,10.1,2.94,
4229,User_228,19,Male,6.5,5.5,58.2,3,2.0,9,9,9,0,2.0,130,6,1.2,0.3,2.0,Social Media,3,12.0,2.8,
4230,User_229,18,Female,7.8,5.1,96.6,5,2.9,5,9,8,0,0.0,172,11,4.5,3.0,2.1,Mixed,4,10.3,5.27,
4231,User_230,15,Female,2.9,6.3,71.5,9,1.8,8,2,2,1,4.0,168,27,2.4,4.3,2.3,Social Media,2,8.8,1.6,
4232,User_231,13,Male,3.0,9.0,77.0,6,2.1,7,3,9,0,3.0,227,9,5.0,0.0,2.0,Gaming,1,7.9,1.0,
4233,User_232,18,Male,7.1,5.2,68.2,3,1.4,9,3,2,0,4.0,131,24,3.8,1.9,1.8,Mixed,2,7.4,4.35,
4234,User_233,17,Female,1.9,3.0,71.4,9,1.0,7,5,7,0,0.0,189,15,3.3,1.3,0.8,Gaming,1,6.0,1.68,
4235,User_234,13,Female,6.4,6.6,45.2,6,2.0,4,3,5,1,0.0,20,22,4.0,2.6,2.4,Education,2,11.9,3.6,
4236,User_235,15,Female,3.6,7.9,54.4,4,3.0,4,6,7,1,3.0,42,22,4.8,2.1,0.8,Mixed,3,5.9,1.69,
4237,User_236,14,Female,9.1,5.0,86.3,4,0.9,8,2,5,1,3.0,126,11,2.9,1.4,1.2,Education,2,6.3,5.24,
4238,User_237,16,Male,6.5,7.8,73.1,8,1.3,6,6,6,0,1.0,132,14,0.2,3.0,0.6,Mixed,2,7.6,2.35,
4239,User_238,19,Female,5.6,4.9,64.0,7,1.5,9,6,8,0,0.0,171,27,4.8,1.0,0.6,Social Media,2,7.8,3.7,
4240,User_239,15,Female,8.5,6.3,77.3,1,2.2,7,2,1,1,3.0,194,24,2.6,2.0,1.2,Gaming,1,9.2,4.58,
4241,User_240,18,Male,3.9,7.6,77.6,6,1.8,7,6,1,0,0.0,108,18,6.8,3.2,1.3,Mixed,4,6.7,2.85,
4242,User_241,13,Female,4.3,4.7,99.9,8,2.4,4,6,5,1,1.0,154,24,2.1,0.9,0.7,Social Media,2,4.0,2.13,
4243,User_242,16,Male,3.5,6.8,72.4,3,3.5,3,6,1,1,2.0,57,24,2.4,1.5,1.5,Social Media,4,7.5,1.14,
4244,User_243,13,Female,4.3,8.3,54.1,9,0.9,8,5,3,1,0.0,66,15,4.1,1.2,1.7,Social Media,1,7.7,1.63,
4245,User_244,18,Female,6.1,7.2,68.3,2,2.1,7,7,9,1,1.0,122,6,4.1,2.7,1.0,Education,2,7.5,3.39,
4246,User_245,13,Male,7.0,5.4,79.1,6,1.8,4,5,7,0,1.0,182,17,3.6,2.5,3.8,Social Media,1,7.5,4.34,
4247,User_246,14,Male,7.9,8.8,84.9,1,1.5,4,1,6,0,1.0,225,17,2.2,1.2,1.8,Mixed,4,7.3,3.23,
4248,User_247,16,Female,2.4,7.5,45.8,2,2.1,1,9,8,0,4.0,81,13,1.3,2.5,1.6,Education,1,5.4,1.0,
4249,User_248,16,Female,5.7,3.7,73.8,5,1.2,7,3,8,1,3.0,92,21,2.0,0.0,0.8,Gaming,1,10.9,3.0,
4250,User_249,18,Female,3.8,7.8,56.5,1,1.8,1,2,6,0,0.0,22,19,0.7,3.3,1.6,Social Media,4,10.8,1.0,
4251,User_250,19,Male,5.6,5.6,61.5,8,0.2,4,6,4,1,4.0,121,28,6.1,3.3,1.7,Mixed,1,10.8,4.29,
4252,User_251,14,Female,10.7,6.8,82.7,1,1.0,3,8,4,1,0.0,167,26,1.5,1.2,1.5,Mixed,4,5.6,5.24,
4253,User_252,15,Male,6.6,8.0,81.2,9,2.5,3,2,4,1,4.0,244,27,2.6,0.9,2.9,Education,4,8.8,2.76,
4254,User_253,13,Male,7.8,5.7,59.8,3,2.5,1,4,6,0,3.0,124,25,4.0,1.9,0.0,Gaming,2,7.2,4.67,
4255,User_254,17,Female,9.9,4.0,67.6,2,1.8,4,2,1,1,1.0,63,26,3.0,0.6,1.1,Education,2,7.0,5.82,
4256,User_255,13,Male,8.3,8.8,62.0,1,1.0,1,9,2,0,0.0,179,26,2.1,0.9,2.2,Social Media,1,6.1,3.33,
4257,User_256,13,Female,5.1,8.2,100.0,9,2.3,8,2,6,0,1.0,119,20,2.8,2.5,0.6,Gaming,1,13.1,2.06,
4258,User_257,15,Female,3.4,6.4,74.2,4,2.7,1,2,1,0,3.0,45,29,2.1,3.2,0.0,Gaming,1,7.5,1.44,
4259,User_258,13,Female,5.9,7.8,57.4,1,1.1,6,5,9,0,0.0,67,14,2.6,2.5,1.0,Gaming,3,6.2,2.55,
4260,User_259,14,Female,4.9,5.9,89.8,1,0.0,7,5,6,0,2.0,24,24,3.6,6.3,2.5,Education,3,8.3,3.53,
4261,User_260,14,Female,3.0,6.6,90.4,7,1.9,2,7,7,0,2.0,78,16,1.4,3.9,0.6,Mixed,2,9.5,1.1,
4262,User_261,16,Male,6.5,6.3,96.9,2,2.4,4,1,1,0,2.0,80,9,4.6,3.1,1.1,Education,4,7.7,4.09,
4263,User_262,18,Male,6.5,6.0,100.0,7,2.1,3,2,8,0,3.0,68,24,3.1,3.0,1.9,Mixed,3,8.5,3.7,
4264,User_263,19,Female,9.5,7.0,80.6,7,3.1,9,6,5,1,2.0,177,21,2.1,2.1,0.9,Education,3,10.0,4.83,
4265,User_264,17,Female,5.3,4.7,64.8,9,3.1,7,2,5,1,0.0,164,14,2.5,2.8,1.1,Mixed,4,6.1,3.24,
4266,User_265,13,Male,6.6,6.1,67.0,7,1.2,2,4,6,0,2.0,89,10,4.8,2.3,0.8,Mixed,1,8.4,4.12,
4267,User_266,13,Male,4.7,7.0,65.6,1,1.7,6,6,7,0,0.0,205,25,4.2,3.6,0.9,Gaming,1,6.7,2.9,
4268,User_267,15,Male,7.7,9.3,63.9,8,1.0,9,7,7,0,3.0,210,24,3.4,1.6,0.3,Mixed,3,6.5,3.38,
4269,User_268,18,Male,5.8,4.7,88.6,8,0.5,3,5,5,0,1.0,208,10,2.1,1.5,1.2,Social Media,3,11.5,3.21,
4270,User_269,14,Female,3.7,7.3,70.0,4,0.5,6,8,1,0,4.0,210,16,3.9,3.8,2.6,Social Media,4,7.8,2.17,
4271,User_270,17,Female,6.0,7.4,84.6,8,2.2,3,6,9,1,2.0,34,25,3.0,1.3,3.1,Mixed,4,5.9,2.57,
4272,User_271,16,Male,6.8,3.7,80.1,4,1.8,3,5,6,0,4.0,20,23,5.6,0.6,2.7,Mixed,3,7.8,4.79,
4273,User_272,14,Female,6.5,7.1,53.5,8,2.4,4,4,9,0,1.0,160,6,2.9,0.9,1.6,Mixed,4,5.6,2.98,
4274,User_273,18,Male,8.1,7.8,44.2,5,4.0,9,6,4,0,3.0,195,17,5.5,3.1,3.2,Mixed,1,7.6,4.99,
4275,User_274,19,Female,3.1,7.4,51.5,4,2.0,8,6,2,1,3.0,147,26,3.3,6.0,3.8,Gaming,2,6.6,1.98,
4276,User_275,16,Male,4.3,6.4,63.6,6,0.7,1,6,3,1,1.0,181,24,1.4,0.7,1.7,Social Media,3,9.0,1.4,
4277,User_276,19,Female,7.3,7.0,72.0,2,2.5,1,1,4,0,4.0,144,15,7.9,3.0,0.5,Gaming,2,11.9,5.39,
4278,User_277,15,Male,4.5,6.8,60.3,2,0.7,7,6,8,1,2.0,177,19,0.8,2.2,2.8,Social Media,4,7.7,1.52,
4279,User_278,15,Male,6.5,4.0,80.5,2,3.2,3,1,3,1,0.0,38,17,0.0,3.7,0.3,Mixed,2,6.7,3.48,
4280,User_279,13,Female,1.2,6.8,62.1,9,0.0,7,5,8,1,3.0,138,7,0.0,3.0,0.6,Social Media,3,8.2,1.0,
4281,User_280,19,Male,11.4,5.9,73.9,3,1.0,9,7,6,1,1.0,83,18,7.1,3.8,0.0,Social Media,4,11.0,8.04,
4282,User_281,18,Female,5.5,5.4,71.8,4,2.1,3,1,4,1,4.0,85,12,6.2,2.4,2.2,Education,2,9.0,4.11,
4283,User_282,17,Female,8.4,10.0,96.0,8,2.7,3,1,7,1,2.0,76,13,3.2,0.7,0.0,Education,1,7.7,3.22,
4284,User_283,16,Male,5.3,8.4,55.4,4,0.8,2,6,5,1,4.0,63,19,3.7,1.0,2.5,Mixed,3,3.9,2.03,
4285,User_284,14,Female,6.8,4.8,100.0,7,0.6,1,7,5,1,2.0,31,27,3.4,2.3,3.3,Gaming,3,7.9,4.15,
4286,User_285,18,Female,9.0,7.0,61.1,5,1.6,9,6,9,0,0.0,141,22,0.3,2.7,3.2,Education,3,9.6,4.07,
4287,User_286,18,Female,8.3,8.7,49.9,9,3.4,6,5,3,0,0.0,187,12,5.2,1.4,0.2,Mixed,3,9.9,4.4,
4288,User_287,15,Female,5.6,4.3,66.7,4,0.0,6,6,4,1,1.0,43,15,5.0,5.0,0.0,Gaming,4,10.6,4.61,
4289,User_288,19,Female,5.7,6.6,100.0,3,1.2,8,3,5,1,1.0,158,9,1.2,3.4,0.9,Education,1,6.7,2.64,
4290,User_289,13,Male,8.0,6.7,83.4,2,1.8,5,9,1,0,2.0,213,19,3.5,0.0,2.4,Social Media,1,7.2,4.05,
4291,User_290,13,Female,10.7,4.6,79.0,1,0.7,9,5,7,0,2.0,20,19,2.9,1.8,2.7,Education,2,7.8,6.29,
4292,User_291,16,Female,6.4,7.1,81.9,6,0.7,5,2,8,1,2.0,205,11,2.7,0.5,2.2,Mixed,3,9.4,2.82,
4293,User_292,15,Female,9.9,8.2,58.5,2,1.3,2,7,6,0,2.0,47,25,2.0,4.9,2.0,Education,3,7.5,5.11,
4294,User_293,18,Female,5.5,8.8,74.9,8,1.8,6,3,9,1,0.0,87,22,2.8,0.0,3.9,Education,2,9.0,1.59,
4295,User_294,17,Female,7.9,6.1,70.0,6,1.3,9,1,3,0,1.0,124,16,2.2,2.6,1.0,Gaming,4,7.2,4.21,
4296,User_295,15,Male,8.2,10.0,97.1,5,3.0,3,3,2,1,1.0,113,16,4.6,2.2,0.7,Gaming,1,6.6,3.85,
4297,User_296,16,Female,5.2,3.4,68.4,2,2.1,4,9,5,0,3.0,143,8,3.0,3.2,0.3,Social Media,3,10.2,3.78,
4298,User_297,16,Male,4.5,7.0,64.3,7,1.9,8,5,9,1,1.0,206,15,2.0,2.5,1.9,Mixed,2,8.6,1.91,
4299,User_298,15,Male,8.3,4.4,52.5,2,2.5,6,7,1,0,1.0,218,25,3.0,5.1,1.3,Social Media,1,9.5,5.8,
4300,User_299,16,Male,4.9,6.6,72.1,5,1.9,7,3,1,0,4.0,143,10,2.8,3.4,2.3,Social Media,2,7.6,2.62,
4301,User_300,15,Male,4.2,5.7,74.4,2,1.1,7,4,3,1,4.0,41,25,2.7,0.0,1.0,Education,2,9.6,1.66,
4302,User_301,14,Female,4.6,7.3,52.0,2,1.2,4,1,3,1,3.0,237,14,4.0,4.1,2.1,Social Media,4,5.9,2.83,
4303,User_302,15,Male,4.9,6.3,76.8,7,0.4,6,3,5,0,2.0,176,19,2.6,2.3,1.1,Gaming,1,6.2,2.47,
4304,User_303,19,Male,7.7,5.3,73.5,9,3.5,9,7,4,0,3.0,108,5,2.1,4.1,1.3,Social Media,3,9.9,4.59,
4305,User_304,15,Female,7.0,5.4,85.2,5,2.4,3,4,6,1,3.0,221,21,1.0,1.5,1.4,Mixed,1,7.9,3.4,
4306,User_305,16,Female,7.4,9.4,88.2,7,0.0,8,2,8,0,0.0,231,7,3.0,0.4,0.0,Social Media,4,7.5,2.83,
4307,User_306,19,Female,6.8,7.2,71.4,4,2.8,7,5,8,0,1.0,225,29,4.9,0.1,1.4,Mixed,3,6.2,3.63,
4308,User_307,16,Male,4.8,3.9,54.5,2,0.0,4,5,4,0,0.0,244,15,2.8,3.6,2.1,Mixed,1,9.6,3.51,
4309,User_308,13,Female,7.4,7.3,57.5,3,2.0,3,2,1,0,1.0,216,22,2.2,3.2,0.5,Social Media,4,11.7,3.77,
4310,User_309,13,Female,8.4,6.2,96.4,2,0.0,7,6,7,0,3.0,64,14,1.9,1.1,3.4,Social Media,3,9.2,4.03,
4311,User_310,19,Male,7.2,6.5,72.5,5,1.1,9,4,6,1,1.0,217,25,0.4,0.0,1.5,Social Media,3,7.1,2.71,
4312,User_311,14,Female,6.9,7.7,96.2,6,2.8,3,1,5,0,2.0,233,13,4.8,3.6,0.9,Mixed,2,10.8,4.22,
4313,User_312,13,Female,4.5,8.3,77.5,7,2.9,9,3,4,0,2.0,143,11,3.7,0.0,0.8,Gaming,2,8.7,1.46,
4314,User_313,15,Female,6.4,5.2,81.3,3,1.8,8,9,6,1,3.0,164,15,4.2,5.3,2.9,Education,4,7.1,4.76,
4315,User_314,16,Female,4.4,6.5,84.1,4,2.3,3,7,8,1,4.0,98,12,3.4,0.0,0.7,Social Media,3,10.6,1.81,
4316,User_315,13,Male,6.0,5.7,51.7,8,0.1,8,6,6,1,2.0,58,6,1.8,2.0,1.8,Education,1,7.6,2.89,
4317,User_316,13,Female,2.7,7.4,74.6,4,2.0,4,1,3,1,3.0,187,9,2.5,2.3,2.4,Social Media,3,5.1,1.0,
4318,User_317,14,Female,2.7,6.2,51.4,7,2.4,6,9,9,1,0.0,47,13,2.2,2.5,2.1,Mixed,4,7.4,1.0,
4319,User_318,19,Male,5.6,6.5,65.7,6,4.0,2,9,3,0,4.0,149,5,2.4,2.5,0.9,Mixed,1,9.1,2.78,
4320,User_319,19,Female,4.9,6.1,79.6,7,0.9,8,1,4,0,2.0,229,21,2.4,2.2,2.3,Education,3,6.6,2.5,
4321,User_320,18,Male,6.2,6.3,54.6,1,1.5,9,6,5,0,3.0,174,14,4.7,1.3,1.7,Gaming,1,4.3,3.67,
4322,User_321,14,Female,5.7,9.1,78.4,3,1.6,7,7,2,1,3.0,168,12,6.0,1.7,0.0,Mixed,2,10.9,3.0,
4323,User_322,15,Male,6.1,10.0,47.5,6,2.2,8,2,2,1,0.0,106,22,1.7,1.0,2.7,Education,1,14.0,1.48,
4324,User_323,19,Male,7.2,7.1,87.1,3,2.4,7,8,6,1,0.0,154,29,2.7,2.2,0.9,Mixed,2,7.0,3.59,
4325,User_324,16,Male,5.1,6.4,60.0,7,2.6,4,8,2,0,4.0,208,14,3.3,0.0,1.3,Social Media,1,6.7,2.34,
4326,User_325,14,Male,5.6,4.1,54.6,9,2.5,1,6,1,0,2.0,71,13,1.5,2.5,1.8,Education,2,5.3,3.15,
4327,User_326,13,Female,8.9,5.4,48.5,3,0.0,3,9,8,0,3.0,195,8,3.1,1.9,1.0,Education,4,6.4,5.22,
4328,User_327,16,Male,6.0,6.3,61.3,1,0.0,7,3,1,0,4.0,145,6,3.5,3.3,2.3,Social Media,1,4.9,3.56,
4329,User_328,16,Female,5.6,5.4,41.4,6,1.0,7,2,6,0,4.0,166,23,2.9,1.5,0.4,Education,3,5.4,3.08,
4330,User_329,13,Male,6.2,5.6,61.8,1,1.5,3,2,1,0,0.0,92,14,3.9,2.9,0.9,Social Media,4,8.0,3.88,
4331,User_330,14,Male,5.7,8.9,86.5,1,0.9,1,6,8,1,3.0,159,21,3.0,2.8,2.7,Gaming,4,4.8,2.37,
4332,User_331,13,Male,4.6,6.5,67.2,8,1.0,9,7,5,0,1.0,113,7,0.0,1.8,1.5,Social Media,1,5.1,1.28,
4333,User_332,18,Female,4.0,6.7,52.3,9,1.2,6,6,3,0,0.0,218,25,1.6,2.5,0.4,Gaming,4,8.4,1.59,
4334,User_333,16,Male,4.5,5.5,73.4,2,2.1,7,3,5,0,3.0,21,23,5.1,0.0,1.6,Education,2,6.8,2.6,
4335,User_334,17,Female,7.7,8.3,72.1,9,0.5,1,5,1,0,4.0,36,23,3.8,4.0,1.9,Social Media,2,8.7,4.11,
4336,User_335,17,Female,4.7,6.2,99.3,5,1.4,1,8,1,0,4.0,222,26,0.0,1.2,0.0,Education,1,7.3,1.42,
4337,User_336,15,Female,5.7,5.7,81.9,8,1.4,4,6,4,1,2.0,144,23,0.7,1.7,3.2,Gaming,4,7.6,2.4,
4338,User_337,19,Female,7.4,4.1,74.6,7,2.1,7,2,9,0,1.0,223,23,4.1,0.4,3.3,Mixed,3,9.6,4.74,
4339,User_338,13,Female,5.4,6.4,83.6,7,2.7,8,7,9,0,0.0,150,19,2.1,0.8,1.6,Mixed,1,6.9,2.26,
4340,User_339,13,Female,7.3,5.7,68.0,4,3.2,9,8,1,1,2.0,40,29,0.0,4.5,1.3,Mixed,1,9.4,3.61,
4341,User_340,15,Female,2.9,9.0,68.9,2,0.8,1,4,3,1,2.0,97,22,4.6,2.2,1.5,Mixed,4,7.2,1.0,
4342,User_341,15,Female,5.7,9.3,94.9,5,0.0,4,1,4,0,1.0,98,21,4.1,1.6,2.4,Mixed,2,6.4,2.28,
4343,User_342,15,Female,6.2,4.6,45.5,3,1.3,4,2,2,0,0.0,70,14,1.8,1.5,2.0,Gaming,4,5.9,3.25,
4344,User_343,16,Male,6.0,4.8,84.5,9,0.0,3,4,7,0,0.0,125,28,4.9,2.0,1.7,Mixed,3,4.7,4.15,
4345,User_344,18,Male,2.7,6.1,68.3,6,4.0,7,7,3,0,4.0,124,18,1.8,3.1,2.9,Mixed,3,5.5,1.07,
4346,User_345,13,Male,8.4,5.3,65.6,1,0.6,1,2,1,0,0.0,29,23,2.1,2.3,2.6,Education,3,4.5,4.57,
4347,User_346,16,Male,4.3,6.8,61.7,3,2.1,9,6,1,1,2.0,135,27,2.3,2.3,0.5,Social Media,3,6.0,1.82,
4348,User_347,15,Male,6.7,6.0,72.3,4,2.4,8,2,3,1,4.0,74,22,0.2,0.6,2.4,Social Media,1,9.6,2.47,
4349,User_348,13,Female,6.0,6.9,69.3,9,1.8,2,7,6,0,0.0,55,15,3.6,1.6,2.7,Social Media,3,8.0,2.99,
4350,User_349,16,Female,8.0,8.0,63.8,6,3.6,2,2,4,0,1.0,70,15,3.8,2.2,1.8,Social Media,3,7.2,4.05,
4351,User_350,18,Female,10.4,4.9,59.5,4,1.3,8,3,1,1,2.0,93,16,2.3,2.0,2.1,Gaming,3,6.6,5.95,
4352,User_351,16,Female,3.4,8.0,41.4,1,0.7,1,9,7,1,3.0,36,12,4.1,1.4,1.2,Social Media,4,7.8,1.19,
4353,User_352,18,Female,4.7,5.4,59.1,8,0.6,7,4,2,0,1.0,236,20,0.6,1.2,0.3,Education,2,8.1,1.86,
4354,User_353,15,Female,6.4,9.7,62.3,2,2.3,9,5,5,0,1.0,80,29,4.0,2.7,3.4,Gaming,2,5.8,2.75,
4355,User_354,18,Female,3.8,8.9,72.3,8,1.3,3,9,8,0,0.0,110,28,3.5,2.7,0.2,Mixed,2,8.9,1.31,
4356,User_355,13,Male,7.6,6.3,99.4,6,0.6,7,7,7,0,4.0,244,12,2.0,3.5,3.2,Education,3,7.3,4.21,
4357,User_356,15,Male,7.7,5.1,60.8,8,1.9,6,8,8,0,4.0,222,28,3.6,2.3,1.4,Education,4,8.6,4.85,
4358,User_357,13,Male,7.1,4.8,54.6,6,2.2,7,3,6,0,2.0,160,18,1.7,0.0,2.7,Mixed,1,7.9,3.49,
4359,User_358,17,Male,6.5,7.8,59.3,5,1.8,7,4,7,1,0.0,212,27,4.7,5.5,1.5,Mixed,4,5.2,4.28,
4360,User_359,14,Female,8.7,6.5,72.3,5,2.4,1,7,9,1,4.0,114,22,3.8,2.0,2.4,Education,1,10.6,4.92,
4361,User_360,18,Female,3.7,7.9,78.8,8,1.6,3,4,6,1,3.0,244,28,3.5,1.4,1.9,Gaming,4,8.0,1.42,
4362,User_361,14,Female,6.1,9.8,80.9,7,0.9,1,2,9,1,0.0,232,25,2.3,1.9,0.8,Mixed,2,7.3,2.02,
4363,User_362,14,Male,4.5,5.3,82.4,8,2.3,5,6,2,0,0.0,99,26,4.2,1.4,1.6,Social Media,2,9.2,2.75,
4364,User_363,18,Female,7.8,4.7,84.5,8,0.6,3,9,2,1,4.0,122,8,4.8,0.8,1.4,Education,3,5.7,4.99,
4365,User_364,15,Female,2.3,6.8,65.8,7,0.4,1,2,2,1,1.0,234,21,5.4,2.9,2.1,Education,2,4.9,1.77,
4366,User_365,17,Female,5.9,8.2,100.0,2,2.7,2,1,6,0,0.0,221,17,2.2,1.8,1.6,Mixed,2,9.1,2.32,
4367,User_366,13,Male,6.7,5.1,64.7,9,1.2,5,8,2,1,1.0,67,9,4.2,1.9,1.8,Mixed,2,10.3,4.2,
4368,User_367,16,Female,4.1,6.6,71.6,7,3.2,3,1,3,0,2.0,244,7,5.1,0.0,0.5,Social Media,4,8.6,2.25,
4369,User_368,13,Male,4.7,8.6,89.4,6,2.4,6,1,8,0,2.0,105,13,2.6,1.7,0.2,Social Media,2,9.6,1.46,
4370,User_369,16,Male,6.0,4.1,78.5,9,1.1,9,3,8,1,4.0,89,24,5.1,0.4,1.6,Social Media,1,5.5,4.07,
4371,User_370,13,Male,7.9,6.9,36.4,1,2.0,6,5,4,1,2.0,66,22,3.2,1.2,1.7,Social Media,3,7.3,3.94,
4372,User_371,18,Male,3.9,5.7,70.1,2,4.0,2,9,9,1,4.0,247,24,1.5,2.4,0.4,Education,4,6.7,1.81,
4373,User_372,17,Female,4.3,6.7,82.9,1,2.3,2,2,8,0,4.0,29,23,1.9,1.1,2.1,Mixed,1,10.1,1.39,
4374,User_373,16,Male,8.3,7.6,49.8,3,2.1,8,1,1,1,1.0,204,23,0.8,1.3,2.1,Gaming,4,9.0,3.4,
4375,User_374,19,Male,5.5,6.8,81.3,5,0.9,8,1,8,0,1.0,99,25,2.9,2.1,1.7,Mixed,2,10.1,2.65,
4376,User_375,15,Female,4.4,5.0,75.9,1,3.3,6,8,1,1,2.0,32,20,2.8,1.2,1.5,Mixed,4,6.8,2.25,
4377,User_376,13,Female,7.5,5.7,87.8,4,2.8,7,2,4,0,1.0,208,5,3.3,0.4,0.2,Social Media,4,5.7,4.07,
4378,User_377,13,Male,5.0,8.6,59.6,8,0.9,1,9,6,1,0.0,77,9,5.0,0.0,0.2,Social Media,3,10.7,2.0,
4379,User_378,16,Female,8.1,7.0,84.9,6,3.4,9,9,7,1,3.0,103,28,3.0,2.5,1.9,Education,4,8.1,4.26,
4380,User_379,15,Male,4.7,7.8,72.4,1,1.7,5,2,4,0,0.0,87,19,2.6,1.2,0.7,Social Media,4,10.1,1.59,
4381,User_380,15,Male,5.7,6.9,96.5,1,0.7,9,3,8,1,0.0,103,16,2.7,0.0,0.7,Education,3,7.9,2.26,
4382,User_381,18,Male,7.9,7.7,100.0,3,0.9,2,2,8,1,4.0,105,29,0.2,3.9,1.8,Mixed,4,12.4,3.38,
4383,User_382,19,Male,5.5,5.9,93.1,8,2.4,8,6,9,0,3.0,176,5,4.0,2.5,3.5,Mixed,4,10.4,3.41,
4384,User_383,18,Female,7.5,5.3,77.2,8,0.7,7,7,6,1,4.0,163,18,2.8,0.2,1.1,Mixed,1,7.7,3.95,
4385,User_384,18,Male,5.9,7.6,100.0,3,0.4,4,6,4,1,1.0,82,22,3.1,0.9,3.6,Education,1,8.0,2.45,
4386,User_385,18,Female,10.0,8.2,79.1,7,1.1,3,3,2,0,1.0,194,22,2.7,3.6,1.4,Education,4,8.0,5.26,
4387,User_386,18,Female,9.1,5.1,56.4,3,1.2,4,3,7,1,3.0,62,10,3.2,1.7,2.1,Education,4,5.7,5.29,
4388,User_387,18,Female,3.3,5.6,69.4,4,0.8,4,2,3,0,2.0,170,5,1.0,1.4,2.5,Social Media,2,7.0,1.05,
4389,User_388,17,Female,7.0,6.3,81.4,9,1.0,8,2,3,1,1.0,177,21,3.0,3.1,2.5,Gaming,1,6.9,4.01,
4390,User_389,15,Male,4.4,8.9,82.4,4,2.4,4,5,3,1,0.0,204,22,2.1,1.7,1.8,Social Media,2,8.5,1.14,
4391,User_390,18,Female,6.4,7.3,53.1,3,1.8,5,8,4,0,3.0,49,19,3.1,3.8,1.3,Gaming,4,6.4,3.39,
4392,User_391,15,Male,6.1,4.5,53.6,5,1.0,2,6,2,1,3.0,86,16,1.5,1.4,2.3,Social Media,2,7.7,3.13,
4393,User_392,15,Female,3.9,6.4,64.9,7,1.1,4,9,5,0,1.0,203,17,3.7,1.1,1.9,Mixed,2,7.3,1.95,
4394,User_393,14,Female,8.1,6.1,78.0,5,1.4,7,5,3,0,1.0,43,24,3.0,2.0,1.1,Education,3,8.2,4.37,
4395,User_394,17,Male,6.4,4.7,79.9,4,1.4,3,4,5,1,4.0,120,6,1.1,3.4,2.9,Social Media,3,10.9,3.56,
4396,User_395,18,Male,5.4,6.3,72.1,8,1.4,1,9,7,0,4.0,224,8,4.4,2.4,2.0,Education,4,10.2,3.37,
4397,User_396,13,Male,5.1,6.1,57.5,4,2.4,8,5,9,1,0.0,125,7,2.2,2.2,0.8,Social Media,1,5.4,2.46,
4398,User_397,16,Female,6.3,6.0,96.1,2,1.7,8,1,2,0,3.0,243,23,2.5,0.8,0.6,Mixed,4,7.9,3.13,
4399,User_398,19,Female,6.8,5.9,53.9,6,1.7,6,5,9,1,2.0,120,29,4.2,0.6,3.5,Education,1,7.4,3.81,
4400,User_399,13,Male,5.8,8.7,89.5,2,2.9,7,5,6,1,2.0,223,12,4.6,3.4,1.0,Mixed,3,6.7,3.15,
